price,area,location,district,bedrooms_n,bathrooms_n,floors_n,house_type,year_built,facade_width,legal_status
52000000000.0,262 m2,"Quận 1, TP. Hồ Chí Minh",Quận 1,4,5,,nhà ở,,,
9890000000.0,30 m2,"Quận 3, TP. Hồ Chí Minh",Quận 3,4,5,,nhà ở,,,
10500000000.0,48 m2,"Quận Tân Phú, TP. Hồ Chí Minh",Quận Tân Phú,0,0,,nhà ở,,,
65000000000.0,160 m2,"Quận 3, TP. Hồ Chí Minh",Quận 3,8,8,,nhà ở,,,
2050000000.0,30 m2,"Quận 4, TP. Hồ Chí Minh",Quận 4,2,2,,nhà ở,,,
1390000000.0,66 m2,"Quận 11, TP. Hồ Chí Minh",Quận 11,2,2,,nhà ở,,,
2355000000.0,44 m2,"Quận Tân Bình, TP. Hồ Chí Minh",Quận Tân Bình,3,2,,nhà ở,,,
2350000000.0,13 m2,"Quận Tân Phú, TP. Hồ Chí Minh",Quận Tân Phú,1,2,,nhà ở,,,
7540000000.0,88 m2,"Quận 2 (TP. Thủ Đức), TP. Hồ Chí Minh",Quận 2 (TP. Thủ Đức),3,2,,căn hộ,,,
6500000000.0,52 m2,"Huyện Nhà Bè, TP. Hồ Chí Minh",Huyện Nhà Bè,4,5,,nhà phố,,,
4780000000.0,43 m2,"Quận Phú Nhuận, TP. Hồ Chí Minh",Quận Phú Nhuận,4,2,,nhà ở,,,
2950000000.0,46 m2,"Quận 4, TP. Hồ Chí Minh",Quận 4,3,4,,nhà ở,,,so hong
8180000000.0,72 m2,"Quận Phú Nhuận, TP. Hồ Chí Minh",Quận Phú Nhuận,5,4,,nhà ở,,,
13000000000.0,110 m2,"Quận 9 (TP. Thủ Đức), TP. Hồ Chí Minh",Quận 9 (TP. Thủ Đức),1,1,,nhà ở,,,
2240000000.0,60 m2,"Quận 10, TP. Hồ Chí Minh",Quận 10,4,3,,nhà ở,,,
9900000000.0,29 m2,"Quận 3, TP. Hồ Chí Minh",Quận 3,3,4,,nhà ở,,,
80000000000.0,106 m2,"Quận 3, TP. Hồ Chí Minh",Quận 3,5,5,,nhà ở,,,
2190000000.0,34 m2,"Quận 11, TP. Hồ Chí Minh",Quận 11,3,4,,nhà ở,,,
